ID,Major,Year,M_GPA,F_GPA,COMBINED_GPA,M_EN,F_EN,C_EN
1231,CS and/or Eng Multiple Majors (data submitted in aggregation),2005,3.43,3.42,3.4280000000000004,88,22,110
1232,CS and/or Eng Multiple Majors (data submitted in aggregation),2006,3.43,3.42,3.4277319587628865,75,22,97
1233,CS and/or Eng Multiple Majors (data submitted in aggregation),2007,3.43,3.43,3.43,55,16,71
1236,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,3.44,3.65,3.488461538461539,30,9,39
1237,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,3.41,3.4,3.407435897435897,29,10,39
4181,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,3.18,3.27,3.195780821917808,1806,384,2190
4182,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,3.1,3.21,3.1189635710620833,1613,336,1949
4183,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,3.07,3.18,3.089661835748792,1360,296,1656
4184,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,3.05,3.13,3.064285714285714,989,215,1204
4185,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,3.01,3.03,3.0133679833679836,800,162,962
4186,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,2.96,3.09,2.9824650571791613,651,136,787
4187,CS and/or Eng Multiple Majors (data submitted in aggregation),2008,2.94,3.03,2.953401253918495,543,95,638
4188,CS and/or Eng Multiple Majors (data submitted in aggregation),2007,2.98,2.98,2.98,521,81,602
4189,CS and/or Eng Multiple Majors (data submitted in aggregation),2006,2.93,2.99,2.93859649122807,586,98,684
4190,CS and/or Eng Multiple Majors (data submitted in aggregation),2005,3.0,2.93,2.990618556701031,672,104,776
4191,CS and/or Eng Multiple Majors (data submitted in aggregation),2004,3.0,3.08,3.011332633788038,818,135,953
4192,CS and/or Eng Multiple Majors (data submitted in aggregation),2003,3.03,3.03,3.03,903,184,1087
4242,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,3.13,3.28,3.1821739130434783,15,8,23
4243,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,3.27,3.31,3.2823076923076924,36,16,52
4267,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,2.85,2.72,2.8291796875,215,41,256
4268,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,2.81,2.69,2.788938775510204,202,43,245
4269,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,2.71,2.8,2.728,200,50,250
4270,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,2.71,2.66,2.7003141361256544,154,37,191
4271,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,2.88,2.73,2.8532758620689656,143,31,174
4370,CS and/or Eng Multiple Majors (data submitted in aggregation),2003,2.92,2.96,2.9265810397553516,1366,269,1635
4371,CS and/or Eng Multiple Majors (data submitted in aggregation),2004,2.94,2.93,2.938671222475323,1142,175,1317
4372,CS and/or Eng Multiple Majors (data submitted in aggregation),2005,2.93,2.93,2.93,884,120,1004
4373,CS and/or Eng Multiple Majors (data submitted in aggregation),2006,2.91,2.95,2.9146063454759106,753,98,851
4374,CS and/or Eng Multiple Majors (data submitted in aggregation),2007,2.99,2.96,2.9860921052631584,661,99,760
4375,CS and/or Eng Multiple Majors (data submitted in aggregation),2008,3.04,2.97,3.0293080939947776,649,117,766
4376,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,3.02,3.03,3.0217076326002585,641,132,773
4377,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,3.0,3.01,3.001888198757764,653,152,805
4378,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,3.08,3.03,3.069936775553214,758,191,949
4379,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,3.06,3.03,3.053304721030043,905,260,1165
4380,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,3.03,3.03,3.0299999999999994,1260,386,1646
4381,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,3.06,3.07,3.062295399515738,1591,474,2065
4382,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,3.12,3.18,3.134559585492228,1754,562,2316
4386,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,3.05,3.27,3.070268006700167,542,55,597
4598,CS and/or Eng Multiple Majors (data submitted in aggregation),2009,2.87,3.08,2.8964766839378235,506,73,579
4599,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,2.89,3.12,2.917138643067847,598,80,678
4600,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,2.9,2.89,2.8988303341902313,687,91,778
4601,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,2.95,3.08,2.9650235849056608,750,98,848
4602,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,2.81,3.03,2.8356196581196578,827,109,936
4603,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.89,3.1,2.91408,664,86,750
4681,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.9,2.8,2.8795918367346935,78,20,98
4881,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,2.94,3.08,2.9582890173410403,752,113,865
4903,CS and/or Eng Multiple Majors (data submitted in aggregation),2016,3.49,3.43,3.479545793000745,1109,234,1343
4943,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.87,2.89,2.873286384976526,178,35,213
4944,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,2.93,2.64,2.878174904942966,216,47,263
5271,CS and/or Eng Multiple Majors (data submitted in aggregation),2010,2.29,2.58,2.3922435897435896,101,55,156
5272,CS and/or Eng Multiple Majors (data submitted in aggregation),2011,2.37,2.36,2.36671875,129,63,192
5273,CS and/or Eng Multiple Majors (data submitted in aggregation),2012,2.49,2.47,2.4840625000000003,135,57,192
5274,CS and/or Eng Multiple Majors (data submitted in aggregation),2013,2.45,2.49,2.460146341463415,153,52,205
5275,CS and/or Eng Multiple Majors (data submitted in aggregation),2014,2.52,2.56,2.529655172413793,154,49,203
5276,CS and/or Eng Multiple Majors (data submitted in aggregation),2015,2.53,2.68,2.572142857142857,151,59,210
1255,Information Technology,2009,2.87,2.88,2.8717336683417085,658,138,796
1256,Information Technology,2010,2.9,3.01,2.9209049773755655,716,168,884
1257,Information Technology,2011,2.94,3.02,2.9550511247443763,794,184,978
1258,Information Technology,2012,2.71,2.75,2.71734375,836,188,1024
1392,Information Technology,2004,3.07,3.14,3.077760532150776,802,100,902
1393,Information Technology,2005,2.01,3.04,2.1169615384615383,699,81,780
1394,Information Technology,2006,3.02,3.04,3.0220782726045887,664,77,741
1395,Information Technology,2007,2.95,3.01,2.9566492829204694,682,85,767
1700,Information Technology,2008,2.93,2.67,2.9025555555555558,161,19,180
1701,Information Technology,2009,2.98,2.89,2.9734677419354836,230,18,248
1702,Information Technology,2010,2.88,3.19,2.9097864768683275,254,27,281
1703,Information Technology,2011,2.88,2.85,2.8774015748031494,348,33,381
1704,Information Technology,2012,2.9,3.04,2.914909090909091,344,41,385
1705,Information Technology,2013,2.88,3.21,2.9184085510688833,372,49,421
1979,Information Technology,2013,2.99,2.38,2.931904761904762,38,4,42
1980,Information Technology,2013,2.59,2.79,2.6376190476190478,32,10,42
2010,Information Technology,2013,2.7,2.85,2.7290830945558744,844,203,1047
4170,Information Technology,2014,2.88,3.07,2.9078666666666666,384,66,450
4228,Information Technology,2010,2.15,3.13,2.2531578947368422,85,10,95
4229,Information Technology,2011,2.9,1.75,2.692168674698795,68,15,83
4230,Information Technology,2012,2.63,3.07,2.677142857142857,75,9,84
4231,Information Technology,2013,2.3,2.5,2.3285714285714287,60,10,70
4670,Information Technology,2015,2.95,3.11,2.9752477064220186,459,86,545
4671,Information Technology,2014,2.96,3.15,2.9881330472103,397,69,466
4672,Information Technology,2013,2.92,3.06,2.938064516129032,351,52,403
4674,Information Technology,2012,2.92,2.98,2.926814404432133,320,41,361
4676,Information Technology,2011,2.95,3.07,2.961178082191781,331,34,365
4677,Information Technology,2010,2.9,3.21,2.925898734177215,362,33,395
4678,Information Technology,2009,2.9,3.27,2.9324711316397227,395,38,433
4679,Information Technology,2008,2.88,3.1,2.8936283185840703,424,28,452
5218,Information Technology,2014,2.2,3.04,2.3251063829787233,80,14,94
5219,Information Technology,2015,2.21,2.58,2.268267716535433,107,20,127
5281,Information Technology,2016,3.02,3.24,3.058228279386712,485,102,587
5297,Information Technology,2011,2.79,2.93,2.809111111111111,272,43,315
5298,Information Technology,2012,2.7,2.86,2.7243478260869565,273,49,322
5299,Information Technology,2013,2.75,2.99,2.791359223300971,341,71,412
5300,Information Technology,2014,2.77,2.93,2.7960869565217394,385,75,460
5301,Information Technology,2015,2.73,3.16,2.7950420168067227,404,72,476
1282,Informatics,2005,3.0,3.0,3.0,239,36,275
1283,Informatics,2006,3.0,3.1,3.0144444444444445,231,39,270
2103,Informatics,2014,3.15,3.34,3.1953982300884953,688,216,904
4781,Informatics,2015,3.16,3.13,3.1538235294117647,162,42,204
4782,Informatics,2014,2.98,3.26,3.036,16,4,20
1458,Computer Science + X,2004,3.0,2.8,2.9627906976744187,35,8,43
1459,Computer Science + X,2005,2.7,3.7,2.8351351351351353,32,5,37
1461,Computer Science + X,2007,3.06,3.81,3.137586206896552,26,3,29
2312,Computer Science + X,2011,3.0,3.35,3.050689655172414,124,21,145
2543,Computer Science + X,2011,2.97,3.08,3.0081549815498154,177,94,271
4406,Computer Science + X,2012,2.98,3.16,3.0536032388663967,146,101,247
4407,Computer Science + X,2013,2.97,3.09,3.0229870129870133,129,102,231
4408,Computer Science + X,2014,2.97,3.16,3.055890410958904,120,99,219
4409,Computer Science + X,2015,3.03,3.15,3.0865022421524664,118,105,223
4617,Computer Science + X,2010,3.52,3.29,3.4851184834123226,179,32,211
4618,Computer Science + X,2011,3.32,3.39,3.334,192,48,240
4619,Computer Science + X,2012,3.52,3.38,3.489038461538461,243,69,312
4620,Computer Science + X,2013,3.54,3.54,3.54,369,121,490
4621,Computer Science + X,2014,3.43,3.55,3.4605806451612904,462,158,620
4909,Computer Science + X,2011,3.13,3.2,3.1533333333333338,12,6,18
4910,Computer Science + X,2012,3.11,3.1,3.107307692307692,19,7,26
4911,Computer Science + X,2013,2.95,2.96,2.9520000000000004,32,8,40
4912,Computer Science + X,2014,3.08,3.28,3.116923076923077,53,12,65
4913,Computer Science + X,2015,3.28,3.34,3.2929310344827583,91,25,116
4914,Computer Science + X,2011,2.98,3.43,3.0403658536585367,71,11,82
4915,Computer Science + X,2012,3.06,3.44,3.14,75,20,95
4916,Computer Science + X,2013,3.11,3.22,3.130584795321637,139,32,171
4917,Computer Science + X,2014,3.22,3.32,3.237391304347826,190,40,230
4918,Computer Science + X,2015,3.21,3.21,3.21,226,52,278
4920,Computer Science + X,2014,2.93,3.31,3.082,6,4,10
4921,Computer Science + X,2015,3.0,3.15,3.0375,9,3,12
4923,Computer Science + X,2014,2.88,3.98,3.1244444444444444,7,2,9
4924,Computer Science + X,2015,2.94,2.91,2.933333333333333,14,4,18
4926,Computer Science + X,2014,3.16,3.2,3.1755555555555564,11,7,18
4927,Computer Science + X,2015,3.19,2.46,2.955357142857143,19,9,28
4928,Computer Science + X,2014,3.32,3.33,3.3229999999999995,7,3,10
4929,Computer Science + X,2015,3.16,3.28,3.198823529411765,23,11,34
4937,Computer Science + X,2016,3.01,3.16,3.0864285714285713,103,107,210
5267,Computer Science + X,2013,3.08,3.26,3.115840707964602,181,45,226
5268,Computer Science + X,2014,2.84,3.16,2.9125773195876286,225,66,291
5269,Computer Science + X,2015,2.94,3.0,2.954254143646409,276,86,362
1462,Information Science,2004,2.5,2.8,2.5640243902439024,129,35,164
1463,Information Science,2005,2.6,2.9,2.650675675675676,123,25,148
1465,Information Science,2007,2.8,3.2,2.8925619834710745,93,28,121
3330,Information Science,2008,2.83,2.9,2.846578947368421,116,36,152
3331,Information Science,2009,2.79,2.79,2.79,136,32,168
3332,Information Science,2010,2.8,2.91,2.82231884057971,165,42,207
3333,Information Science,2011,2.86,3.09,2.902112676056338,174,39,213
4604,Information Science,2010,3.35,3.35,3.35,30,7,37
4605,Information Science,2011,3.37,3.52,3.3840625,29,3,32
4606,Information Science,2012,3.17,3.21,3.18,27,9,36
4607,Information Science,2013,3.24,3.29,3.258867924528302,33,20,53
4608,Information Science,2014,3.22,3.27,3.237605633802817,46,25,71
4622,Information Science,2010,3.08,3.3,3.149259259259259,37,17,54
4623,Information Science,2011,3.05,3.22,3.11375,40,24,64
4624,Information Science,2012,3.15,3.44,3.29046875,33,31,64
4625,Information Science,2013,3.0,3.39,3.2028000000000003,36,39,75
4626,Information Science,2014,3.04,3.32,3.1952475247524754,45,56,101
4783,Information Science,2013,2.91,3.05,2.9334449760765553,174,35,209
4784,Information Science,2012,2.85,3.2,2.92,160,40,200
4785,Information Science,2014,2.89,2.94,2.8998076923076925,209,51,260
4786,Information Science,2015,2.82,3.46,2.9232258064516126,78,15,93
5340,Information Science,2013,2.9,3.1,2.9287292817679558,310,52,362
5341,Information Science,2014,2.93,3.11,2.9554867256637167,291,48,339
5342,Information Science,2015,2.91,3.01,2.926568047337278,282,56,338
5343,Information Science,2016,2.89,2.92,2.8956962025316453,256,60,316
1554,Computer Information Systems,2008,2.84,3.0,2.8675862068965516,144,30,174
1555,Computer Information Systems,2009,2.81,2.8,2.8081538461538464,159,36,195
1556,Computer Information Systems,2010,2.75,2.81,2.758974358974359,199,35,234
1557,Computer Information Systems,2011,2.79,2.92,2.817344827586207,229,61,290
1558,Computer Information Systems,2012,2.83,2.95,2.851735849056604,217,48,265
4481,Computer Information Systems,2014,2.51,3.04,2.606951219512195,67,15,82
1324,Computer Science,2008,3.1,3.2,3.107235142118863,359,28,387
1325,Computer Science,2009,3.1,3.2,3.107901234567901,373,32,405
1326,Computer Science,2010,3.1,3.3,3.119047619047619,380,40,420
1327,Computer Science,2011,3.1,3.3,3.123144104803494,405,53,458
1340,Computer Science,2004,2.5,2.7,2.5718367346938775,157,88,245
1341,Computer Science,2005,2.5,2.7,2.570967741935484,120,66,186
1388,Computer Science,2004,3.03,3.18,3.03893470790378,821,52,873
1389,Computer Science,2005,2.99,3.22,3.0012469437652816,778,40,818
1390,Computer Science,2006,2.99,3.34,3.0059731543624166,711,34,745
1391,Computer Science,2007,2.96,3.13,2.969914651493599,662,41,703
1400,Computer Science,2004,2.95,3.26,2.9660806916426514,329,18,347
1401,Computer Science,2005,2.99,3.27,3.0065680473372782,318,20,338
1430,Computer Science,2003,2.52,3.03,2.5676978417266185,252,26,278
1431,Computer Science,2004,2.84,2.87,2.8422173913043474,213,17,230
1432,Computer Science,2005,2.64,2.48,2.6310000000000002,151,9,160
1433,Computer Science,2006,2.87,3.29,2.895648854961832,123,8,131
1434,Computer Science,2007,2.8,2.89,2.8080689655172413,132,13,145
1435,Computer Science,2008,2.82,3.1,2.8461870503597124,126,13,139
1436,Computer Science,2009,2.92,3.16,2.942677165354331,115,12,127
1437,Computer Science,2010,2.81,3.17,2.8502797202797203,127,16,143
1438,Computer Science,2011,2.82,3.14,2.8529696969696965,148,17,165
1439,Computer Science,2012,3.2,3.4,3.221590909090909,157,19,176
1479,Computer Science,2008,3.0,3.05,3.004911838790932,358,39,397
1489,Computer Science,2009,2.93,3.17,2.955427509293681,481,57,538
1490,Computer Science,2010,2.9,3.25,2.944657097288676,547,80,627
1491,Computer Science,2011,2.88,3.26,2.925862068965517,561,77,638
1492,Computer Science,2012,2.84,3.29,2.8991463414634144,641,97,738
1521,Computer Science,2008,2.8,2.8,2.8,305,55,360
1522,Computer Science,2009,2.72,2.75,2.7244097995545657,383,66,449
1523,Computer Science,2010,2.79,2.94,2.8119026548672568,386,66,452
1524,Computer Science,2011,2.77,2.84,2.7787837837837834,453,65,518
1525,Computer Science,2012,2.83,2.86,2.833712871287129,531,75,606
1570,Computer Science,2009,3.38,3.35,3.3731067961165047,238,71,309
1571,Computer Science,2010,3.42,3.38,3.4100662251655636,227,75,302
1618,Computer Science,2004,2.6,2.5,2.5921739130434784,318,27,345
1619,Computer Science,2005,2.5,2.5,2.5,272,21,293
1620,Computer Science,2006,2.5,2.75,2.5137614678899083,309,18,327
1625,Computer Science,2004,2.9,3.0,2.9129943502824855,154,23,177
1626,Computer Science,2005,3.0,3.0,3.0,137,27,164
1627,Computer Science,2006,2.95,3.0,2.9592592592592593,132,30,162
1630,Computer Science,2010,2.98,2.88,2.964259259259259,273,51,324
1685,Computer Science,2012,3.07,3.06,3.0687608069164263,608,86,694
1686,Computer Science,2011,2.92,3.02,2.930931899641577,497,61,558
1688,Computer Science,2010,2.98,2.98,2.98,476,58,534
1689,Computer Science,2009,2.99,3.03,2.9942710472279264,435,52,487
1694,Computer Science,2008,3.03,3.15,3.0416556291390724,409,44,453
1695,Computer Science,2009,3.04,3.23,3.059525691699605,454,52,506
1696,Computer Science,2010,3.07,3.2,3.0827450980392155,506,55,561
1697,Computer Science,2011,3.06,3.15,3.0668031496062995,587,48,635
1698,Computer Science,2012,3.08,3.25,3.096102841677943,669,70,739
1699,Computer Science,2013,3.01,3.21,3.0280737217598093,765,76,841
1706,Computer Science,2010,2.87,3.11,2.901471900089206,974,147,1121
1707,Computer Science,2011,2.94,3.1,2.961942179392142,1164,185,1349
1708,Computer Science,2012,2.98,3.13,3.003196768609348,1465,268,1733
1709,Computer Science,2013,3.0,3.13,3.02187866927593,1700,344,2044
1711,Computer Science,2014,3.13,3.24,3.149608026131591,1761,382,2143
1738,Computer Science,2011,2.99,3.0,2.9912639405204464,235,34,269
1739,Computer Science,2012,3.01,2.93,2.996909090909091,322,63,385
1740,Computer Science,2013,3.1,2.96,3.0721042830540037,430,107,537
1877,Computer Science,2011,3.47,3.31,3.4304819277108436,250,82,332
1878,Computer Science,2012,3.44,3.36,3.4194022988505743,323,112,435
1906,Computer Science,2013,3.13,3.28,3.14914446002805,622,91,713
1907,Computer Science,2013,3.4,3.4,3.4000000000000004,360,131,491
1908,Computer Science,2014,3.44,3.38,3.4201298701298706,412,204,616
1952,Computer Science,2007,3.05,3.07,3.0518834080717485,404,42,446
1953,Computer Science,2008,3.02,3.13,3.0290163934426233,448,40,488
1954,Computer Science,2009,3.12,3.23,3.1317303822937625,444,53,497
1955,Computer Science,2010,3.17,3.25,3.178561403508772,509,61,570
1956,Computer Science,2011,3.14,3.3,3.1562984218077474,626,71,697
1957,Computer Science,2012,3.18,3.32,3.197342342342342,778,110,888
1958,Computer Science,2013,3.17,3.34,3.1915270018621973,938,136,1074
1969,Computer Science,2013,3.18,3.36,3.198947368421053,170,20,190
1970,Computer Science,2014,3.2,3.4,3.2270916334661357,217,34,251
2004,Computer Science,2013,3.07,3.05,3.0675551102204404,438,61,499
2008,Computer Science,2013,2.98,3.22,3.0017881705639615,661,66,727
2020,Computer Science,2012,3.08,3.25,3.099615384615385,483,63,546
2021,Computer Science,2013,3.1,3.23,3.1158934169278996,560,78,638
2022,Computer Science,2014,3.13,3.33,3.1569377382465054,681,106,787
2037,Computer Science,2011,3.01,3.07,3.015806451612903,616,66,682
2038,Computer Science,2012,3.05,3.24,3.0681067344345614,712,75,787
2039,Computer Science,2013,3.02,3.24,3.0397949886104785,799,79,878
2040,Computer Science,2014,3.0,3.09,3.0091277890466532,886,100,986
2043,Computer Science,2013,2.73,3.16,2.8075773195876286,159,35,194
2044,Computer Science,2014,2.78,3.13,2.836976744186046,180,35,215
2055,Computer Science,2013,3.12,3.15,3.1241379310344826,750,120,870
2535,Computer Science,2011,3.1,3.17,3.1085923423423427,779,109,888
2839,Computer Science,2014,2.97,3.31,2.9944800000000003,232,18,250
2840,Computer Science,2010,2.89,3.08,2.912599118942731,200,27,227
